BikeAge,BikeAlcDrg,BikeInjury,BikeRace,BikeSex,SpeedLimit
12,No,O: No Injury,Black,Male,30 - 35  MPH
25,No,O: No Injury,Black,Female,30 - 35  MPH
36,No,C: Possible Injury,White,Male,40 - 45  MPH
63,No,C: Possible Injury,White,Male,30 - 35  MPH
14,No,C: Possible Injury,Black,Male,30 - 35  MPH
57,No,O: No Injury,Black,Male,5 - 15 MPH
51,No,C: Possible Injury,White,Male,Unknown
68,No,C: Possible Injury,Black,Male,30 - 35  MPH
56,No,C: Possible Injury,Black,Male,Unknown
22,No,C: Possible Injury,Black,Male,Unknown
25,No,C: Possible Injury,Unknown/Missing,Female,30 - 35  MPH
999,Missing,Unknown Injury,Unknown/Missing,Unknown,40 - 45  MPH
28,No,C: Possible Injury,White,Male,5 - 15 MPH
15,No,C: Possible Injury,White,Male,20 - 25  MPH
45,Unknown,Unknown Injury,Unknown/Missing,Unknown,20 - 25  MPH
23,No,C: Possible Injury,White,Female,50 - 55  MPH
31,No,C: Possible Injury,White,Male,40 - 45  MPH
15,No,C: Possible Injury,White,Male,20 - 25  MPH
65,No,C: Possible Injury,Black,Male,50 - 55  MPH
22,No,B: Suspected Minor Injury,Black,Female,30 - 35  MPH
11,Missing,O: No Injury,Black,Male,20 - 25  MPH
30,No,O: No Injury,White,Male,50 - 55  MPH
55,No,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
10,No,B: Suspected Minor Injury,White,Female,20 - 25  MPH
32,No,C: Possible Injury,White,Female,30 - 35  MPH
40,No,O: No Injury,White,Male,30 - 35  MPH
40,No,C: Possible Injury,Black,Male,30 - 35  MPH
61,No,C: Possible Injury,Black,Male,30 - 35  MPH
19,No,O: No Injury,Black,Male,5 - 15 MPH
38,No,C: Possible Injury,Native American,Male,5 - 15 MPH
46,No,C: Possible Injury,White,Male,30 - 35  MPH
9,No,C: Possible Injury,Black,Male,20 - 25  MPH
41,Missing,A: Suspected Serious Injury,White,Male,20 - 25  MPH
27,No,C: Possible Injury,Other,Male,5 - 15 MPH
26,No,B: Suspected Minor Injury,White,Male,30 - 35  MPH
38,Missing,C: Possible Injury,Black,Male,30 - 35  MPH
8,No,O: No Injury,Black,Male,30 - 35  MPH
29,Unknown,A: Suspected Serious Injury,Black,Male,30 - 35  MPH
62,No,B: Suspected Minor Injury,Hispanic,Male,40 - 45  MPH
14,No,C: Possible Injury,White,Male,Unknown
16,No,B: Suspected Minor Injury,White,Male,40 - 45  MPH
14,No,B: Suspected Minor Injury,White,Male,30 - 35  MPH
14,No,C: Possible Injury,White,Male,30 - 35  MPH
17,Unknown,B: Suspected Minor Injury,White,Female,20 - 25  MPH
18,No,C: Possible Injury,White,Male,40 - 45  MPH
